id,name,cn,val,reference,color,collection
"""300103701410928232120231227LEF""","""TCOASTER""","""CNG1S1""","""55""","""17LEFTCOASTER""","""CNG1S1LEFTCOAST""","""ERCLGCLARY"""
"""300103701410914600120231227LEF""","""TCOASTER""","""CNG1S3""","""55""","""17LEFTCOASTERCNG1S3LEFTCOASTERCLGCLARY""","""GRAYCNG1S3OR""","""24KBAA5517145CC55550S3DEGRADEC11"""
"""300103701410914594120231227LEF""","""TCOASTER""","""CNG2""","""55""","""17LEFTCOASTERCNG2LEFTCOASTERCLGCLARY""","""GRAYCNG2OR""","""ET"""
"""300103701410914587120231227LEF""","""TCOASTER""","""CNG2S2""","""55""","""17LEFTCOASTERCNG2S2LEFTCOASTERCLGCLARY""","""GRAYCNG2S2OR""","""ET"""
"""300103701410914570120231227LEF""","""TCOASTER""","""CNG3""","""55""","""17LEFTCOASTERCNG3LEFTCOASTERCLGCLARY""","""GRAYCNG3ARGENTA""","""AA5517145CC505001"""
"""300103701410928218120231227LEF""","""TCOASTER""","""CNG3S4""","""55""","""17LEFTCOASTERCNG3S4LEFTCOASTERCLGCLARY""","""GRAYCNG3S4ARGEN""","""TBAA5517145CC55550S4DEGRADEC11"""
"""300103701410927716120231227LEF""","""TCOASTER""","""CNG3S5""","""55""","""17LEFTCOASTERCNG3S5LEFTCOASTERCLGCLARY""","""GRAYCNG3S5ARGEN""","""TBAA5517145CC55550S5DEGRADEC11"""
"""300103701410927723120231227LEF""","""TCOASTER""","""CNG4""","""55""","""17LEFTCOASTERCNG4LEFTCOASTERCLGCLARY""","""GRAYCNG4OR""","""ET"""
"""300103701410914549120231227LEF""","""TCOASTER""","""CNG4S12""","""55""","""17LEFTCOASTERCNG4S12LEFTCOASTERCLGCLARY""","""GRAYCNG4S12OR""","""ET"""
"""300103701410914679120231227LIM""","""AN""","""CNG1""","""51""","""20LIMANCNG1LIMANCLGCLARY""","""GRAYCNG1OR""","""24K"""
"""300103701410914662120231227LIM""","""AN""","""CNG1S3""","""51""","""20LIMANCNG1S3LIMANCLGCLARY""","""GRAYCNG1S3OR""","""24KBAC5120140CC55550S13DEGRADEC11"""
"""300103701410930419120231227LIM""","""AN""","""CNG1S8""","""51""","""20LIMANCNG1S8LIMANCLGCLARY""","""GRAYCNG1S8OR""","""24K"""
"""300103701410914655120231227LIM""","""AN""","""CNG2""","""51""","""20LIMANCNG2LIMANCLGCLARY""","""GRAYCNG2OR""","""ET"""
"""300103701410930464120231227LIM""","""AN""","""CNG28""","""51""","""20LIMANCNG28LIMANCLGCLARY""","""GRAYCNG28OR""","""ROSEAAC5120145CC505001"""
"""300103701410930440120231227LIM""","""AN""","""CNG29""","""51""","""20LIMANCNG29LIMANCLGCLARY""","""GRAYCNG29ARGENT""","""AAC5120145CC505001"""
"""300103701410930457120231227LIM""","""AN""","""CNG29S14""","""51""","""20LIMANCNG29S14LIMANCLGCLARY""","""GRAYCNG29S14ARG""","""ENTBAC5120145CC55550S14DEGRADEC11"""
"""300103701410914648120231227LIM""","""AN""","""CNG2S5""","""51""","""20LIMANCNG2S5LIMANCLGCLARY""","""GRAYCNG2S5OR""","""ET"""
"""300103701410914631120231227LIM""","""AN""","""CNG3""","""51""","""20LIMANCNG3LIMANCLGCLARY""","""GRAYCNG3ARGENTA""","""AC5120140CC505001"""
"""300103701410914624120231227LIM""","""AN""","""CNG3S1""","""51""","""20LIMANCNG3S1LIMANCLGCLARY""","""GRAYCNG3S1ARGEN""","""TBAC5120140CC55550S1DEGRADEC11"""
"""300103701410930433120231227LIM""","""ANCNG1B""","""51""","""20LIM""","""ANCNG1BLIMANCLGCLARY""","""GRAYCNG1BOR""","""ET"""
"""300103701410930426120231227LIM""","""ANCNG1BS18""","""51""","""20LIM""","""ANCNG1BS18LIMANCLGCLARY""","""GRAYCNG1BS18OR""","""ET"""
"""300103701410927730120231227LON""","""DONER""","""CNG1""","""51""","""16LONDONERCNG1LONDONERCLGCLARY""","""GRAYCNG1OR""","""24KACA5116145CC505001"""
"""300103701410927464120231227LON""","""DONER""","""CNG13""","""51""","""16LONDONERCNG13LONDONERCLGCLARY""","""GRAYCNG13OR""","""24K"""
"""300103701410928164120231227LON""","""DONER""","""CNG13S4""","""51""","""16LONDONERCNG13S4LONDONERCLGCLARY""","""GRAYCNG13S4OR""","""24K"""
"""300103701410927471120231227LON""","""DONER""","""CNG14""","""51""","""16LONDONERCNG14LONDONERCLGCLARY""","""GRAYCNG14OR""","""ET"""
"""300103701410928171120231227LON""","""DONER""","""CNG14S19""","""51""","""16LONDONERCNG14S19LONDONERCLGCLARY""","""GRAYCNG14S19OR""","""24K"""
"""300103701410927488120231227LON""","""DONER""","""CNG15""","""51""","""16LONDONERCNG15LONDONERCLGCLARY""","""GRAYCNG15OR""","""ET"""
"""300103701410928195120231227LON""","""DONER""","""CNG15S9""","""51""","""16LONDONERCNG15S9LONDONERCLGCLARY""","""GRAYCNG15S9OR""","""24K"""
"""300103701410927747120231227LON""","""DONER""","""CNG1S13""","""51""","""16LONDONERCNG1S13LONDONERCLGCLARY""","""GRAYCNG1S13OR""","""24KBCA5116145CC55550S13DEGRADEC11"""
